"","wordcloud_bigram_oo$ngrams","cat_sent_oo","wordcloud_bigram_oo$freq"
"48329","fill application ","Neutral",1
"48330","go repair ","Neutral",1
"48331","anyway"", ""tried ","Neutral",1
"48332","ended costing ","Neutral",1
"48333","othanks"", 
""absolute ","Negative",1
"48334","trying speak ","Neutral",1
"48335","compleate holes ","Neutral",1
"48336","helped professional ","Positive",1
"48337","see call ","Neutral",1
"48338","bank bankf ","Neutral",1
"48339","waited contract ","Neutral",1
"48340","comment always ","Neutral",1
"48341","parts therefore ","Neutral",1
"48342","times details ","Neutral",1
"48343","year woodgreen ","Neutral",1
"48344","said fix ","Neutral",1
"48345","anytime assumed ","Neutral",1
"48346","cpw complaint ","Negative",1
"48347","take put ","Neutral",1
"48348","stating calls ","Neutral",1
"48349","happy see ","Positive",1
"48350","march renewable ","Neutral",1
"48351","enough comment ","Negative",1
"48352","stress really ","Negative",1
"48353","device called ","Neutral",1
"48354","ringing eventually ","Neutral",1
"48355","
""disconnects evening ","Neutral",1
"48356","ever pay ","Negative",1
"48357","treatment decided ","Negative",1
"48358","recently going ","Neutral",1
"48359","eyes bill ","Neutral",1
"48360","happy go ","Positive",1
"48361","website sent ","Neutral",1
"48362","helped find ","Positive",1
"48363","assumed paid ","Neutral",1
"48364","greedy took ","Negative",1
"48365","told insured ","Neutral",1
"48366","olivia west ","Neutral",1
"48367","connection restored ","Positive",1
"48368","bent finding ","Negative",1
"48369","order corporate ","Neutral",1
"48370","three best ","Positive",1
"48371","says calls ","Neutral",1
"48372","gb equalling ","Neutral",1
"48373","link work ","Positive",1
"48374","rental wheni ","Neutral",1
"48375","treat bad ","Negative",1
"48376","d never ","Neutral",1
"48377","luckily notice ","Positive",1
"48378","hours methodically ","Neutral",1
"48379","cancel nice ","Negative",1
"48380","customers issues ","Neutral",1
"48381","handed tried ","Neutral",1
"48382","probably every ","Neutral",1
"48383","plans move ","Neutral",1
"48384","soon text ","Neutral",1
"48385","sent hundreds ","Neutral",1
"48386","someone buy ","Neutral",1
"48387","sorry"", 
""currently ","Negative",1
"48388","yo ahe ","Neutral",1
"48389","never insurance ","Neutral",1
"48390","mother mifi ","Neutral",1
"48391","phone colleague ","Neutral",1
"48392","admitted phone ","Positive",1
"48393","exceptnow lovely ","Positive",1
"48394","wish seen ","Positive",1
"48395","easy little ","Positive",1
"48396","total indifference ","Negative",1
"48397","ips imei ","Neutral",1
"48398","firms engineers ","Neutral",1
"48399","lie actually ","Negative",1
"48400","charging internet ","Neutral",1
"48401","figure went ","Neutral",1
"48402","loyal blame ","Positive",1
"48403","another found ","Positive",1
"48404","reason go ","Positive",1
"48405","cover require ","Neutral",1
"48406","laptops thought ","Neutral",1
"48407","pile"", 
""getting ","Neutral",1
"48408","reassured charged ","Positive",1
"48409","told guess ","Neutral",1
"48410","daughter shown ","Positive",1
"48411","forced contract ","Negative",1
"48412","performance reputation ","Positive",1
"48413","want leg ","Neutral",1
"48414","live sticks ","Neutral",1
"48415","state understood ","Neutral",1
"48416","autumn sadly ","Negative",1
"48417","reason able ","Positive",1
"48418","chat gurus ","Positive",1
"48419","complaint assistant ","Negative",1
"48420","someone finds ","Neutral",1
"48421","dis interested ","Positive",1
"48422","number whilst ","Neutral",1
"48423","callrang told ","Neutral",1
"48424","included packages ","Positive",1
"48425","good job ","Positive",1
"48426","sign papers ","Neutral",1
"48427","closer"", 
""hello ","Neutral",1
"48428","store market ","Neutral",1
"48429","matteri taking ","Neutral",1
"48430","start talking ","Neutral",1
"48431","issue said ","Neutral",1
"48432","assistance sorry ","Positive",1
"48433","actually issues ","Neutral",1
"48434","phones information ","Positive",1
"48435","good thing"", ","Positive",1
"48436","box none ","Neutral",1
"48437","£ help ","Neutral",1
"48438","like os ","Positive",1
"48439","generally ask ","Neutral",1
"48440","o automatically ","Neutral",1
"48441","""never trust ","Positive",1
"48442","bill pound ","Neutral",1
"48443","sky sky ","Neutral",1
"48444","donkey years ","Negative",1
"48445","wifi upfront ","Neutral",1
"48446","one message ","Neutral",1
"48447","assuming fall ","Negative",1
"48448","spoke person ","Neutral",1
"48449","though put ","Neutral",1
"48450","payment doubled ","Negative",1
"48451","idiot request ","Negative",1
"48452","landline phone ","Neutral",1
"48453","fact charge ","Neutral",1
"48454","misinterpret words ","Negative",1
"48455","years ran ","Neutral",1
"48456","problem moment ","Negative",1
"48457","operate way ","Neutral",1
"48458","place scrolled ","Neutral",1
"48459","resolve overall ","Positive",1
"48460","agreeing providing ","Positive",1
"48461","etc thats ","Neutral",1
"48462","sheep coverage ","Neutral",1
"48463","time arriveo ","Neutral",1
"48464","excuses please ","Positive",1
"48465","surly rights ","Negative",1
"48466","switched rolling ","Neutral",1
"48467","pass complaints ","Negative",1
"48468","unbarred support ","Positive",1
"48469","back fourth ","Neutral",1
"48470","code without ","Neutral",1
"48471","neither goods ","Positive",1
"48472","took screen ","Neutral",1
"48473","new signups ","Positive",1
"48474","haanyway phoned ","Neutral",1
"48475","calls end ","Neutral",1
"48476","replacement sims ","Neutral",1
"48477","day wifi ","Neutral",1
"48478","normal procedure ","Positive",1
"48479","advised letter ","Neutral",1
"48480","id name ","Neutral",1
"48481","faith overcharged ","Neutral",1
"48482","landline online ","Neutral",1
"48483","simplicity plan ","Neutral",1
"48484","whenever problem ","Negative",1
"48485","nower days"", ","Neutral",1
"48486","clearly bothered ","Neutral",1
"48487","top per ","Neutral",1
"48488","resolved ashraf ","Positive",1
"48489","careful weeks ","Positive",1
"48490","renewed anyway ","Positive",1
"48491","locked system ","Neutral",1
"48492","ofcom see ","Neutral",1
"48493","send mail ","Neutral",1
"48494","twice since ","Neutral",1
"48495","apparently damage ","Negative",1
"48496","department bloody ","Negative",1
"48497","switched tried ","Neutral",1
"48498","surrender o ","Negative",1
"48499","o request ","Neutral",1
"48500","nuisance call ","Negative",1
"48501","deal mistake ","Negative",1
"48502","card threw ","Neutral",1
"48503","arrow £ ","Neutral",1
"48504","account therefore ","Neutral",1
"48505","two previous ","Neutral",1
"48506","lived area ","Neutral",1
"48507","password accept ","Positive",1
"48508","words service ","Neutral",1
"48509","cancellation fees ","Neutral",1
"48510","explained live ","Neutral",1
"48511","receive kind ","Positive",1
"48512","""craprubbishcon artists"", ","Neutral",1
"48513","mail now ","Neutral",1
"48514","misfortune speak ","Negative",1
"48515","finally produced ","Positive",1
"48516","training needs ","Neutral",1
"48517","back heard ","Neutral",1
"48518","company sadly ","Negative",1
"48519","vodafone"", 
""working ","Positive",1
"48520","wasnt insured ","Neutral",1
"48521","offhand clearly ","Positive",1
"48522","connection dial ","Neutral",1
"48523","evidently call ","Neutral",1
"48524","one worse ","Negative",1
"48525","touch wednesday ","Neutral",1
"48526","refund top ","Positive",1
"48527","bricked phones ","Neutral",1
"48528","sorted requested ","Neutral",1
"48529","btw s ","Neutral",1
"48530","users pay ","Negative",1
"48531","centres basically ","Neutral",1
"48532","blowing"", ""zero ","Neutral",1
"48533","area"", ""phone ","Neutral",1
"48534","provide grasp ","Positive",1
"48535","wait upgrade ","Negative",1
"48536","deceive able ","Negative",1
"48537","screenshots copies ","Neutral",1
"48538","waited slow ","Negative",1
"48539","account end ","Neutral",1
"48540","london dealt ","Neutral",1
"48541","o unfortunately ","Negative",1
"48542","department unions ","Neutral",1
"48543","woman staff ","Neutral",1
"48544","record o ","Neutral",1
"48545","possible three ","Neutral",1
"48546","mobile dataperhaps ","Neutral",1
"48547","""bad mannered ","Negative",1
"48548","wth hell ","Negative",1
"48549","chance ever ","Positive",1
"48550","honestly better ","Positive",1
"48551","empathy kept ","Positive",1
"48552","feature wifi ","Neutral",1
"48553","brighton western ","Neutral",1
"48554","phone old ","Neutral",1
"48555","original bar ","Neutral",1
"48556","respect receive ","Positive",1
"48557","directly last ","Neutral",1
"48558","whereas o ","Neutral",1
"48559","£ refuse ","Negative",1
"48560","much websurfing ","Neutral",1
"48561","however soon ","Neutral",1
"48562","signaldespite phoning ","Neutral",1
"48563","good speeds ","Positive",1
"48564","makers become ","Neutral",1
"48565","end took ","Neutral",1
"48566","service earth ","Neutral",1
"48567","request declined ","Negative",1
"48568","train catch ","Neutral",1
"48569","condition yet ","Neutral",1
"48570","cut think ","Negative",1
"48571","clicked go ","Neutral",1
"48572","purely perspective ","Positive",1
"48573","even staff ","Neutral",1
"48574","time gprs ","Neutral",1
"48575","kept us ","Neutral",1
"48576","releif free ","Positive",1
"48577","numbers uk ","Neutral",1
"48578","jokes ofcom ","Positive",1
"48579","o"", 
""parents ","Neutral",1
"48580","issue technical ","Neutral",1
"48581","waiver upfront ","Neutral",1
"48582","date nursing ","Neutral",1
"48583","ask paid ","Neutral",1
"48584","anything resembling ","Neutral",1
"48585","l got ","Neutral",1
"48586","ive weeks ","Neutral",1
"48587","store helped ","Positive",1
"48588","
""limited g ","Negative",1
"48589","knows type ","Neutral",1
"48590","card contacted ","Neutral",1
"48591","recognised dial ","Neutral",1
"48592","selected classic ","Positive",1
"48593","network mistake ","Negative",1
"48594","alot time"", ","Neutral",1
"48595","owned phone ","Neutral",1
"48596","many complaints ","Negative",1
"48597","st advised ","Neutral",1
"48598","think trading ","Neutral",1
"48599","chats customer ","Neutral",1
"48600","pointless done ","Negative",1
"48601","thing tell ","Neutral",1
"48602","years around ","Neutral",1
"48603","rang last ","Neutral",1
"48604","charlatans days"", ","Neutral",1
"48605","montenegro eu ","Neutral",1
"48606","avoid absolutely ","Negative",1
"48607","issues recently"", ","Neutral",1
"48608","outstanding rare ","Positive",1
"48609","take answer ","Neutral",1
"48610","u take ","Neutral",1
"48611","unlimited messages ","Positive",1
"48612","mail quoting ","Neutral",1
"48613","friends moved ","Neutral",1
"48614","avalaible delivered ","Neutral",1
"48615","talk trying ","Positive",1
"48616","texts apps ","Neutral",1
"48617","dont stand ","Neutral",1
"48618","shes sorry ","Negative",1
"48619","£ trusted ","Positive",1
"48620","contacted ask ","Neutral",1
"48621","involvedaware internal ","Neutral",1
"48622","customer yrs"", ","Neutral",1
"48623","applying process ","Neutral",1
"48624","deposit contracts ","Neutral",1
"48625","saying mailbox ","Neutral",1
"48626","sarcasm said ","Negative",1
"48627","mean pay ","Negative",1
"48628","understanding got ","Positive",1
"48629","home big ","Positive",1
"48630","february last ","Neutral",1
"48631","store"", ""o ","Neutral",1
"48632","party take ","Neutral",1
"48633","unsatisfactory conversations ","Negative",1
"48634","evidence fault ","Negative",1
"48635","tried sim ","Neutral",1
"48636","operate offices ","Neutral",1
"48637","except animals ","Neutral",1
"48638","said aware ","Neutral",1
"48639","frustrated seems ","Negative",1
"48640","walked sky ","Neutral",1
"48641","gives beep ","Neutral",1
"48642","problems quickly ","Negative",1
"48643","""years pay ","Negative",1
"48644","recorded said ","Neutral",1
"48645","sign listen ","Neutral",1
"48646","accounts ee ","Neutral",1
"48647","wife believe ","Neutral",1
"48648","turned sim ","Neutral",1
"48649","happy carried ","Positive",1
"48650","least two ","Neutral",1
"48651","cpw etc ","Neutral",1
"48652","went great ","Positive",1
"48653","charged less ","Neutral",1
"48654","salesman assured ","Positive",1
"48655","excellent g ","Positive",1
"48656","slill paying ","Neutral",1
"48657","abrupt attitude ","Negative",1
"48658","abysmal made ","Negative",1
"48659","print file ","Neutral",1
"48660","called sales ","Neutral",1
"48661","wrong willing ","Positive",1
"48662","running charged ","Neutral",1
"48663","hand refurbrang ","Neutral",1
"48664","im disappointing ","Negative",1
"48665","pretend account ","Negative",1
"48666","o pocket ","Neutral",1
"48667","store friends ","Neutral",1
"48668","now shatteredwent ","Neutral",1
